"subject" "activity" "featDomain" "featAcceleration" "featInstrument" "featJerk" "featMagnitude" "featVariable" "featAxis" "count" "average"
1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 61 -0.0121981137868852
1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 61 -0.108900449770492
1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 61 0.0900195484754098
1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "X" 61 -0.976398469836066
1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 61 -0.971011105901639
1 "LAYING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 61 -0.98669668295082
1 "LAYING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 61 -0.953848269508197
1 "LAYING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 61 -0.96011243704918
1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "X" 61 -0.103300588622951
1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Y" 61 -0.0361274578327869
1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Z" 61 -0.0563869672459016
1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "X" 61 -0.985579046721312
1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Y" 61 -0.98857106442623
1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Z" 61 -0.994336277213115
1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 61 -0.990505326557377
1 "LAYING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 61 -0.98781231
1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 61 0.272574900655738
1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 61 -0.0163177532121311
1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 61 -0.107160088262295
1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "X" 61 -0.971989435901639
1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 61 -0.945576010327869
1 "LAYING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 61 -0.966767599672131
1 "LAYING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 61 -0.96183419295082
1 "LAYING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 61 -0.95875845147541
1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 61 0.0792076921639344
1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 61 0.0152010497980328
1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 61 -0.00318962539237705
1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 61 -0.987983095573771
1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 61 -0.98491855442623
1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 61 -0.987573193278689
1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 61 -0.988180212131148
1 "LAYING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 61 -0.987704365901639
1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "X" 61 -0.225603749229508
1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Y" 61 -0.0857942373770492
1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Z" 61 0.896978231639344
1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "X" 61 -0.962104382131147
1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Y" 61 -0.968871901147541
1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Z" 61 -0.97038079
1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 61 -0.96183419295082
1 "LAYING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "SD" "NA" 61 -0.95875845147541
1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 61 -0.97517484
1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 61 -0.976400408688525
1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 61 -0.987398020983607
1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "X" 61 -0.976940311967213
1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 61 -0.968392192786885
1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 61 -0.987622865573771
1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 61 -0.970879046721312
1 "LAYING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 61 -0.960127929672131
